GTIN,Product Type,Category,Product Name,Image URL,Description,Regular Price,Pickup Price,SKU,isAlcohol,ABV(%),Caffeine Quantity,Caffeine reference unit,Net Value,Net Unit,Net Quantity,Gross weight,Gross Unit,Size Description,Energy Content,Serving Size,Tax,Quantity Restriction,Product Types,Deposit Type,Deposit Amount,Allergen information,Additive information,Additional information,Quantitative declaration of ingredients (QUID),Nutritional declaration,Name of manufacturer,Address of manufacturer,Country of origin or place of provenance,Storage conditions,Preparation instructions
,ITEM,Les Classiques,Bolognaise maison,,"tomate, viande hachée porc/boeuf, persil",8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Les Classiques,Suppléments (facultatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Parmesan petit,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Parmesan grand,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Sauce crème,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Sauce tomate,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Sauce bolognaise,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Burrata,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Poulet,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Merguez,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Poissons,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Gratinée au four,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Ail,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Basilic,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Pili-pili,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Pâtes SANS GLUTEN,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Crème SANS LACTOSE,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Chorizo,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Jambon,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Jambon de parme,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Lardons,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Gorgonzola,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Raclette,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Reblochon,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Fêta,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Légumes,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Les Classiques,Huile de truffe,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Les Classiques,Crème jambon,,"crème, jambon à l'os, parmesan, persil",9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
