GTIN,Product Type,Category,Product Name,Image URL,Description,Regular Price,Pickup Price,SKU,isAlcohol,ABV(%),Caffeine Quantity,Caffeine reference unit,Net Value,Net Unit,Net Quantity,Gross weight,Gross Unit,Size Description,Energy Content,Serving Size,Tax,Quantity Restriction,Product Types,Deposit Type,Deposit Amount,Allergen information,Additive information,Additional information,Quantitative declaration of ingredients (QUID),Nutritional declaration,Name of manufacturer,Address of manufacturer,Country of origin or place of provenance,Storage conditions,Preparation instructions
,ITEM,Tacos,Mos Tacos - M,,Bases garnies de frites et sauce fromagère mos tacos,7.99,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Tacos,"Sauce (obligatoire, 1 à 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Algérienne,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Andalouse,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Barbecue,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Samouraï,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Ketchup,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Mayonnaise,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Brasil,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Tacos,"Viande (obligatoire, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Cordon Bleu de Poulet,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Viande de Bœuf,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Merguez de Bœuf,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Poulet Mariné,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Nuggets de Poulet,,,5.99,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Onion Rings,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Tenders Croustillants,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Falafel,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Tacos,"Frite (obligatoire, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Avec Frite,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Sans Frite,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Tacos,"Sauce fromagère (obligatoire, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Supplément,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Sans,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Tacos,"Supplément fromage (facultatif, max 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Mozzarella,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Oignons & Mozzarella,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Cheddar,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Oignons & Cheddar,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Raclette,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Oignons & Raclette,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Tacos,"Supplément fromage 2 (facultatif, max 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Vache Qui Rit,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Gouda,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Oignons & Gouda,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Mozzarella,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Oignons & Mozzarella,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Cheddar,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Oignons & Cheddar,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Raclette,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Oignons & Raclette,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Tacos,"Boisson (facultatif, max 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Fanta Orange,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Fanta Exotic,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Fanta Citron,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Schweppes Agrumes,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Coca-Cola Zéro,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Tacos,Coca-Cola,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
