GTIN,Product Type,Category,Product Name,Image URL,Description,Regular Price,Pickup Price,SKU,isAlcohol,ABV(%),Caffeine Quantity,Caffeine reference unit,Net Value,Net Unit,Net Quantity,Gross weight,Gross Unit,Size Description,Energy Content,Serving Size,Tax,Quantity Restriction,Product Types,Deposit Type,Deposit Amount,Allergen information,Additive information,Additional information,Quantitative declaration of ingredients (QUID),Nutritional declaration,Name of manufacturer,Address of manufacturer,Country of origin or place of provenance,Storage conditions,Preparation instructions
,ITEM,Plats,Pâtes bolognaise,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Plats,Pâtes 4 fromages,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Plats,Boulette sauce tomate,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Plats,Hamburger frites,,Sauce au choix,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Plats,"Sauce (obligatoire, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Plats,Andalouse,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Plats,Mayo,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Plats,Ketchup,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Salades,Thon pêche,,Avec demi-baguette,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Salades,Saumon,,Avec demi-baguette,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Salades,Américain,,Avec demi-baguette,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Salades,Crevette Rose,,Avec demi-baguette,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Salades,Tomate crevette,,Avec demi-baguette,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Salades,César,,Avec demi-baguette,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Salades,Asperge Jambon,,Avec demi-baguette,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Salades,Végétarien,,Avec demi-baguette,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Petite Faim,Portion de fromage,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Petite Faim,Suppléments (facultatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Petite Faim,Gouda,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Petite Faim,Biscuit,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Petite Faim,Cacahuètes,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Petite Faim,Assiette mixte,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Petite Faim,Suppléments (facultatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Petite Faim,Gouda,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Petite Faim,Biscuit,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Petite Faim,Cacahuètes,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Petite Faim,Assiette brochette,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Petite Faim,Suppléments (facultatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Petite Faim,Gouda,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Petite Faim,Biscuit,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Petite Faim,Cacahuètes,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Snacks,Kinder Bueno,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Snacks,Snickers,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Snacks,Mentos,,,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Snacks,M&M's,,,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Snacks,Chips,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Snacks,Frutella,,,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Coca,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Coca Zéro,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Sprite,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Fanta,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
