GTIN,Product Type,Category,Product Name,Image URL,Description,Regular Price,Pickup Price,SKU,isAlcohol,ABV(%),Caffeine Quantity,Caffeine reference unit,Net Value,Net Unit,Net Quantity,Gross weight,Gross Unit,Size Description,Energy Content,Serving Size,Tax,Quantity Restriction,Product Types,Deposit Type,Deposit Amount,Allergen information,Additive information,Additional information,Quantitative declaration of ingredients (QUID),Nutritional declaration,Name of manufacturer,Address of manufacturer,Country of origin or place of provenance,Storage conditions,Preparation instructions
,ITEM,Entrées,Pain à l'ail,images/restaurants/be/R5RQ0503/products/be_10169653_signorepizza_pizza_a_lail_550x440.png,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Entrées,Aubergines à la parmigiana,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Entrées,Pain à l'ail et miel,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Pizzas,Pizza pepperoni,images/restaurants/be/R5RQ0503/products/be_10169653_signorepizza_pizza_peperoni_550x440.png,"Tomate, mozzarella, salami et origan.",25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Pizzas,Suppléments (facultatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Origan,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Champignons,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Poivrons,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Câpres,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Oignons rouges,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Artichauts,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Olives,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Légumes frais,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Aubergines,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Jambon,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Jambon de Parme,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Pizzas,Pizza Regina,images/restaurants/be/R5RQ0503/products/be_10169653_signorepizza_pizza_regina_550x440.png,"Tomate, mozzarella, champignons, jambon et origan.",24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Pizzas,Suppléments (facultatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Origan,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Champignons,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Poivrons,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Câpres,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Oignons rouges,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Artichauts,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Olives,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Légumes frais,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Aubergines,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Jambon,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Jambon de Parme,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Pizzas,Pizza romana,images/restaurants/be/R5RQ0503/products/be_10169653_signorepizza_pizza_romana_550x440.png,"Tomate, mozzarella, champignons, poivrons, olives et origan.",23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option-Group,Pizzas,Suppléments (facultatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Origan,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,Pizzas,Champignons,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
