GTIN,Product Type,Category,Product Name,Image URL,Description,Regular Price,Pickup Price,SKU,isAlcohol,ABV(%),Caffeine Quantity,Caffeine reference unit,Net Value,Net Unit,Net Quantity,Gross weight,Gross Unit,Size Description,Energy Content,Serving Size,Tax,Quantity Restriction,Product Types,Deposit Type,Deposit Amount,Allergen information,Additive information,Additional information,Quantitative declaration of ingredients (QUID),Nutritional declaration,Name of manufacturer,Address of manufacturer,Country of origin or place of provenance,Storage conditions,Preparation instructions
,ITEM,Sushi Box,Sushi Box Amateur Mix,,"3 Maki Salmon Roll, 6 Maki Cheese Avocat, 3 Spring Saumon Avocat, 3 California Saumon Avocat",16.9,16.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Box Adrien Cachot,,"2 Sushi Crevette Koshou, 2 Kuro Edamame Tulip, 6 Maki Maguro Cacahuète Wasabi, 6 California Saba Moutarde, 3 California Kimchicken, 3 Spring Crevette Nanban",35,35,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box du Moment,,"2 Sushi Saumon, 3 Maki Cheese Avocat , 6 California Saumon Crispy Onion, 3 California Chicken Curry, 3 Spring Crevette Tempura",19.9,19.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Box Duo Essentiels,,"6 California Saumon Avocat, 6 Maki Cheese Avocat",12.9,12.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box California Dream,,"6 California Salmon Aburi, 6 California Chicken Curry, 6 California Thon Cuit Avocat, 6 California Saumon Avocat",25.9,25.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box Crispy Box,,"6 California Nacho Roll, 6 California Chicken Katsu, 6 California Tropical Mango",21.9,21.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Menu Kids Saumon,,"4 Maki Cheese Avocat, 4 Maki Saumon, 4 Spring Fried Chicken Avocat, 1 Jus Pommes Pressées Andros 25cl, 1 Compote Pomme - Pêche - Fruit du dragon Pom'Potes 90g",12.9,12.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box Salmon Classic,,"10 Sushi Saumon, Edamame / Salade de chou",22.9,22.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box Salmon Lovers,,"6 Sushi Saumon, 6 Spring Saumon Avocat, 6 California Saumon Avocat",21.9,21.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box Salmon Original,,"5 Sushi Saumon, 6 California Saumon Avocat",16.9,16.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box Sunrise,,"6 California Thon Cuit Avocat, 6 Maki Salmon Roll, 6 California Saumon Avocat",21.9,21.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box Super Salmon,,"6 Maki Saumon, 6 Maki Salmon Roll, 6 Spring Saumon Avocat, 6 California Saumon Avocat",25.9,25.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box Tasty Box,,"6 Spring Saumon Avocat, 6 California Salmon Aburi Roll, 6 California Chicken Katsu, Edamame / Salade de chou",22.9,22.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box Veggie,,"6 Maki Cheese Avocat , 6 California Veggie, 6 Spring Cheese Concombre",15.9,15.9,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
,ITEM,Sushi Box,Sushi Box Fresh Mix,,"2 Sushi Salmon Cheese, 4 Sushi Saumon, 4 Signature Rock n Roll, 6 Maki Salmon Roll, 6 California Saumon Avocat",29,29,,,,,,380,GRAM,,399,GRAM,,,,,,,,,,,,,,,,,,
